Qualifying window of new local hires expected to receive payouts:,Month where CPF contributions for new local hires from September 2020 to February 2023 is made for:,Gross wages for JGI in the month of hire will be derived based on mandatory CPF contributions paid on or before:,Month when JGI payout will be disbursed:,context
"Phase 1, 2 and 3",October 2021,14 November 2021,March 2022,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2 and 3",November 2021,14 December 2021,March 2022,jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 6,Payout 6,Payout 6,Payout 6,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2 and 3",December 2021,14 January 2022,June 2022,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2 and 3",January 2022,14 February 2022,June 2022,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2 and 3",February 2022,14 March 2022,June 2022,jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 7,Payout 7,Payout 7,Payout 7,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2 and 3",March 2022,14 April 2022,September 2022,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2 and 3",April 2022,14 May 2022,September 2022,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2 and 3",May 2022,14 June 2022,September 2022,jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 8,Payout 8,Payout 8,Payout 8,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2, 3 and 4",June 2022,14 July 2022,"December 2022 (for Phase 4, JGI payouts for CPF contributions made in April and May 2022 will also be in December 2022)",jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2, 3 and 4",July 2022,14 August 2022,"December 2022 (for Phase 4, JGI payouts for CPF contributions made in April and May 2022 will also be in December 2022)",jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 1, 2, 3 and 4",August 2022,14 September 2022,"December 2022 (for Phase 4, JGI payouts for CPF contributions made in April and May 2022 will also be in December 2022)",jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 9,Payout 9,Payout 9,Payout 9,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 2, 3 and 4",September 2022,14 October 2022,March 2023,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 2, 3 and 4",October 2022,14 November 2022,March 2023,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 2, 3 and 4",November 2022,14 December 2022,March 2023,jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 10,Payout 10,Payout 10,Payout 10,jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 2, 3, 4 and 5",December 2022,14 January 2023,"June 2023 (for Phase 5, JGI payouts for CPF contributions made in October – November 2022 will also be in June 2023)",jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 2, 3, 4 and 5",January 2023,14 February 2023,"June 2023 (for Phase 5, JGI payouts for CPF contributions made in October – November 2022 will also be in June 2023)",jobs-growth-incentive             Illustration of Phase 5 (New)        
"Phase 2, 3, 4 and 5",February 2023,14 March 2023,"June 2023 (for Phase 5, JGI payouts for CPF contributions made in October – November 2022 will also be in June 2023)",jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 11,Payout 11,Payout 11,Payout 11,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 4 and 5,March 2023,14 April 2023,September 2023,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 4 and 5,April 2023,14 May 2023,September 2023,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 4 and 5,May 2023,14 June 2023,September 2023,jobs-growth-incentive             Illustration of Phase 5 (New)        
Payout 12,Payout 12,Payout 12,Payout 12,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 4 and 5,June 2023,14 July 2023,December 2023,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 4 and 5,July 2023,14 August 2023,December 2023,jobs-growth-incentive             Illustration of Phase 5 (New)        
Phase 4 and 5,August 2023,14 September 2023,December 2023,jobs-growth-incentive             Illustration of Phase 5 (New)        
